,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
ACORDTC_20230216002023030300T.scan,5,120,0.972,0.965,0.952,0.964,0.952,0.75,0.997,0.921,0.836,0.573,0.949,0.974,0.977,0.788,0.775,0.718,0.525,0.517,0.498
ACORDTC_20230216002023030300T.scan,6,144,0.967,0.957,0.936,0.956,0.936,0.7,0.997,0.909,0.822,0.535,0.928,0.962,0.968,0.736,0.709,0.642,0.423,0.364,0.341
ACORDTC_20230216002023030300T.scan,7,168,0.961,0.948,0.924,0.947,0.924,0.662,0.996,0.899,0.811,0.503,0.907,0.952,0.959,0.688,0.647,0.581,0.342,0.252,0.232
ACORDTC_20230216002023030300T.scan,8,192,0.958,0.943,0.913,0.943,0.913,0.644,0.995,0.891,0.801,0.479,0.884,0.941,0.95,0.635,0.578,0.504,0.264,0.171,0.146
ACORDTC_20230216002023030300T.scan,9,216,0.956,0.94,0.902,0.94,0.902,0.618,0.994,0.88,0.789,0.43,0.86,0.929,0.941,0.582,0.502,0.42,0.197,0.074,0.052
ACORDTC_20230216002023030300T.scan,10,240,0.955,0.938,0.896,0.938,0.896,0.614,0.993,0.873,0.782,0.412,0.841,0.921,0.935,0.557,0.462,0.379,0.156,0.006,-0.016
ACORDTC_20230216002023030300T.scan,11,264,0.952,0.934,0.896,0.934,0.896,0.604,0.993,0.874,0.782,0.395,0.832,0.916,0.932,0.535,0.432,0.359,0.164,0.005,0.021
VIESBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESBAMH_20230216002023030300T.scan,1,24,-0.668,-0.612,0.285,-0.622,0.277,0.074,0.099,0.0,0.0,0.0,-0.408,-0.881,3.091,-0.081,-0.019,-0.289,0.036,0.047,-0.053
VIESBAMH_20230216002023030300T.scan,2,48,-0.951,-0.952,0.439,-0.974,0.427,0.116,0.145,0.0,0.0,0.0,-0.68,-1.534,6.334,-0.074,0.026,-0.421,0.056,-0.006,-0.036
VIESBAMH_20230216002023030300T.scan,3,72,-1.074,-1.125,0.512,-1.159,0.497,0.116,0.174,0.0,0.0,0.0,-0.833,-2.247,7.796,0.001,0.117,-0.459,0.093,-0.026,-0.002
VIESBAMH_20230216002023030300T.scan,4,96,-1.16,-1.257,0.495,-1.301,0.477,0.083,0.213,0.0,0.0,0.0,-0.575,-3.144,7.886,0.009,0.139,-0.57,0.099,-0.038,-0.022
VIESBAMH_20230216002023030300T.scan,5,120,-1.205,-1.338,0.442,-1.39,0.422,0.047,0.157,0.0,0.0,0.0,-1.12,-4.964,5.861,0.103,0.287,-0.549,0.117,0.029,0.047
VIESBAMH_20230216002023030300T.scan,6,144,-1.219,-1.39,0.373,-1.448,0.352,-0.002,0.012,0.0,0.0,0.0,-2.757,-7.905,2.424,0.186,0.457,-0.426,0.119,0.064,0.079
VIESBAMH_20230216002023030300T.scan,7,168,-1.269,-1.505,0.304,-1.568,0.282,-0.016,-0.142,0.0,0.0,0.0,-4.478,-11.354,-1.43,0.281,0.592,-0.31,0.109,0.094,0.125
VIESBAMH_20230216002023030300T.scan,8,192,-1.343,-1.642,0.225,-1.708,0.203,-0.02,-0.316,0.0,0.0,0.0,-6.001,-14.864,-5.069,0.332,0.671,-0.257,0.133,0.063,0.164
VIESBAMH_20230216002023030300T.scan,9,216,-1.442,-1.762,0.16,-1.831,0.138,-0.033,-0.43,0.0,0.0,0.0,-6.873,-17.327,-7.474,0.367,0.667,-0.299,0.124,0.069,0.136
VIESBAMH_20230216002023030300T.scan,10,240,-1.48,-1.816,0.077,-1.884,0.053,-0.002,-0.471,0.0,0.0,0.0,-6.991,-19.052,-8.48,0.383,0.634,-0.312,0.156,0.063,0.068
VIESBAMH_20230216002023030300T.scan,11,264,-1.516,-1.873,-0.036,-1.939,-0.059,0.023,-0.517,0.0,0.0,0.0,-7.381,-21.528,-10.713,0.389,0.703,-0.245,0.082,0.069,0.046
RMSEBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEBAMH_20230216002023030300T.scan,1,24,2.146,2.15,1.326,2.153,1.323,1.546,2.684,0.001,0.001,0.0,22.967,25.391,30.939,3.042,3.351,4.798,2.966,3.416,5.063
RMSEBAMH_20230216002023030300T.scan,2,48,2.854,2.9,1.944,2.891,1.933,2.198,3.923,0.001,0.001,0.001,32.303,36.905,47.728,4.224,4.667,6.785,4.126,4.869,7.245
RMSEBAMH_20230216002023030300T.scan,3,72,3.278,3.4,2.488,3.374,2.471,2.715,4.993,0.001,0.002,0.001,40.352,49.548,67.105,5.193,5.806,8.595,5.084,6.227,9.358
RMSEBAMH_20230216002023030300T.scan,4,96,3.695,3.904,3.024,3.858,2.999,3.171,6.138,0.002,0.002,0.001,49.658,64.463,87.071,6.036,7.063,10.489,5.957,7.602,11.492
RMSEBAMH_20230216002023030300T.scan,5,120,4.003,4.34,3.518,4.275,3.488,3.554,7.205,0.002,0.002,0.001,58.314,80.837,107.463,6.581,8.354,12.223,6.721,9.097,13.627
RMSEBAMH_20230216002023030300T.scan,6,144,4.274,4.729,3.985,4.65,3.95,3.833,8.116,0.002,0.002,0.001,65.886,93.924,125.284,7.209,9.363,13.569,7.251,10.21,15.366
RMSEBAMH_20230216002023030300T.scan,7,168,4.617,5.137,4.258,5.046,4.222,4.075,9.123,0.002,0.002,0.001,74.319,106.799,139.625,7.696,10.229,14.498,7.829,11.125,16.401
RMSEBAMH_20230216002023030300T.scan,8,192,4.872,5.473,4.554,5.366,4.514,4.221,10.172,0.002,0.002,0.001,82.937,119.085,154.197,8.245,11.018,15.661,8.361,11.832,17.403
RMSEBAMH_20230216002023030300T.scan,9,216,5.059,5.712,4.878,5.588,4.833,4.334,11.012,0.002,0.002,0.001,89.875,131.618,171.24,8.621,11.877,16.913,8.67,12.485,18.242
RMSEBAMH_20230216002023030300T.scan,10,240,5.206,5.922,5.109,5.791,5.063,4.378,11.522,0.002,0.002,0.001,94.125,139.64,182.844,8.857,12.247,17.544,8.727,12.687,18.732
RMSEBAMH_20230216002023030300T.scan,11,264,5.353,6.103,5.207,5.969,5.161,4.479,12.07,0.002,0.002,0.001,98.891,145.984,188.832,9.05,12.597,17.891,8.841,12.919,18.984
ACORBAMH_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
