,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
ACORDTC_20230216002023030300T.scan,5,120,0.939,0.94,0.953,0.939,0.953,0.858,0.993,0.897,0.814,0.574,0.906,0.967,0.979,0.646,0.751,0.833,0.616,0.696,0.73
ACORDTC_20230216002023030300T.scan,6,144,0.931,0.928,0.936,0.927,0.936,0.817,0.992,0.878,0.789,0.497,0.873,0.952,0.968,0.583,0.686,0.78,0.507,0.585,0.631
ACORDTC_20230216002023030300T.scan,7,168,0.922,0.916,0.915,0.915,0.915,0.78,0.989,0.857,0.765,0.445,0.829,0.934,0.955,0.508,0.62,0.733,0.423,0.502,0.556
ACORDTC_20230216002023030300T.scan,8,192,0.912,0.901,0.897,0.9,0.897,0.744,0.987,0.837,0.744,0.398,0.783,0.914,0.939,0.445,0.542,0.657,0.357,0.439,0.485
ACORDTC_20230216002023030300T.scan,9,216,0.906,0.892,0.885,0.891,0.885,0.707,0.985,0.83,0.735,0.369,0.749,0.896,0.927,0.389,0.476,0.614,0.315,0.371,0.43
ACORDTC_20230216002023030300T.scan,10,240,0.907,0.892,0.875,0.891,0.875,0.67,0.984,0.825,0.728,0.335,0.724,0.885,0.918,0.344,0.424,0.56,0.267,0.331,0.382
ACORDTC_20230216002023030300T.scan,11,264,0.903,0.889,0.869,0.887,0.87,0.647,0.984,0.823,0.726,0.335,0.71,0.88,0.915,0.326,0.396,0.536,0.276,0.308,0.342
VIESBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESBAMH_20230216002023030300T.scan,1,24,0.149,-0.074,0.232,-0.083,0.226,0.123,-0.663,0.0,0.0,0.0,-3.965,-4.191,0.672,0.176,0.005,-0.19,0.073,-0.049,-0.066
VIESBAMH_20230216002023030300T.scan,2,48,0.259,-0.035,0.412,-0.05,0.404,0.176,-1.272,0.0,0.0,0.0,-7.662,-6.862,2.239,0.284,0.043,-0.271,0.171,-0.044,-0.077
VIESBAMH_20230216002023030300T.scan,3,72,0.398,0.036,0.488,0.016,0.478,0.179,-1.637,0.0,0.0,0.0,-9.703,-8.094,2.672,0.386,0.074,-0.356,0.207,-0.059,-0.061
VIESBAMH_20230216002023030300T.scan,4,96,0.491,0.089,0.545,0.066,0.534,0.155,-1.821,0.0,0.0,0.0,-10.451,-8.396,3.423,0.393,0.034,-0.407,0.231,-0.081,-0.018
VIESBAMH_20230216002023030300T.scan,5,120,0.599,0.176,0.554,0.15,0.542,0.109,-1.937,0.0,0.0,0.0,-10.961,-8.537,3.44,0.326,-0.082,-0.51,0.178,-0.072,-0.008
VIESBAMH_20230216002023030300T.scan,6,144,0.626,0.154,0.521,0.129,0.509,0.091,-1.986,0.0,0.0,0.0,-11.215,-9.107,2.646,0.418,-0.01,-0.502,0.181,-0.105,-0.056
VIESBAMH_20230216002023030300T.scan,7,168,0.641,0.137,0.487,0.111,0.473,0.092,-1.876,0.0,0.0,0.0,-10.311,-8.782,3.068,0.495,0.053,-0.45,0.164,-0.121,-0.115
VIESBAMH_20230216002023030300T.scan,8,192,0.604,0.12,0.509,0.092,0.495,0.149,-1.883,0.0,0.0,0.0,-10.301,-8.951,4.076,0.553,0.082,-0.362,0.108,-0.113,-0.115
VIESBAMH_20230216002023030300T.scan,9,216,0.525,0.086,0.563,0.058,0.548,0.27,-1.986,0.0,0.0,0.0,-11.036,-9.36,6.454,0.607,0.115,-0.349,0.107,-0.118,-0.111
VIESBAMH_20230216002023030300T.scan,10,240,0.456,0.023,0.607,-0.003,0.594,0.416,-2.242,0.0,0.0,0.0,-13.393,-11.764,6.483,0.763,0.247,-0.422,0.149,-0.113,-0.111
VIESBAMH_20230216002023030300T.scan,11,264,0.438,-0.042,0.527,-0.07,0.514,0.456,-2.468,0.0,0.0,0.0,-15.098,-14.705,3.539,0.961,0.406,-0.37,0.209,-0.101,-0.111
RMSEBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEBAMH_20230216002023030300T.scan,1,24,2.973,2.369,1.332,2.362,1.329,1.518,3.59,0.001,0.001,0.0,27.051,29.066,31.852,3.568,3.853,4.752,3.539,3.874,4.774
RMSEBAMH_20230216002023030300T.scan,2,48,3.991,3.383,2.119,3.363,2.11,2.185,5.314,0.001,0.001,0.0,37.39,40.803,46.833,4.696,5.316,6.537,4.615,5.404,6.693
RMSEBAMH_20230216002023030300T.scan,3,72,4.704,4.155,2.841,4.122,2.827,2.824,6.889,0.001,0.001,0.0,48.5,56.633,66.853,5.714,6.824,8.544,5.629,6.908,8.649
RMSEBAMH_20230216002023030300T.scan,4,96,5.17,4.701,3.304,4.655,3.287,3.306,7.981,0.001,0.001,0.0,57.032,69.38,82.063,6.532,8.038,10.179,6.511,8.169,10.315
RMSEBAMH_20230216002023030300T.scan,5,120,5.537,5.112,3.781,5.052,3.761,3.688,8.968,0.001,0.001,0.001,64.705,82.037,99.248,7.172,9.212,11.735,7.141,9.216,11.955
RMSEBAMH_20230216002023030300T.scan,6,144,5.931,5.643,4.313,5.567,4.29,4.086,10.102,0.002,0.002,0.001,74.028,96.949,119.972,7.763,10.123,13.085,7.906,10.639,13.764
RMSEBAMH_20230216002023030300T.scan,7,168,6.178,5.954,4.86,5.868,4.834,4.401,11.191,0.002,0.002,0.001,83.835,110.781,138.801,8.215,10.971,14.456,8.345,11.244,14.655
RMSEBAMH_20230216002023030300T.scan,8,192,6.352,6.21,5.186,6.119,5.157,4.662,12.023,0.002,0.002,0.001,90.901,120.674,152.351,8.568,11.5,15.367,8.834,11.911,15.784
RMSEBAMH_20230216002023030300T.scan,9,216,6.643,6.545,5.49,6.444,5.458,4.831,12.994,0.002,0.002,0.001,98.976,132.095,167.363,8.955,12.071,16.121,9.115,12.627,16.773
RMSEBAMH_20230216002023030300T.scan,10,240,6.64,6.578,5.783,6.477,5.75,4.921,13.869,0.002,0.002,0.001,106.06,142.847,181.735,9.284,12.701,17.283,9.292,13.097,17.804
RMSEBAMH_20230216002023030300T.scan,11,264,6.679,6.634,5.991,6.536,5.958,5.112,14.62,0.002,0.002,0.001,111.163,149.72,189.779,9.558,13.23,17.882,9.252,13.249,18.074
ACORBAMH_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORBAMH_20230216002023030300T.scan,1,24,0.982,0.987,0.994,0.987,0.994,0.975,0.999,0.971,0.945,0.89,0.982,0.996,0.998,0.908,0.954,0.971,0.902,0.948,0.96
ACORBAMH_20230216002023030300T.scan,2,48,0.967,0.974,0.985,0.973,0.985,0.948,0.998,0.944,0.89,0.783,0.969,0.992,0.995,0.843,0.912,0.945,0.835,0.897,0.919
ACORBAMH_20230216002023030300T.scan,3,72,0.954,0.96,0.973,0.959,0.973,0.91,0.996,0.922,0.849,0.7,0.949,0.984,0.99,0.769,0.855,0.905,0.753,0.828,0.862
ACORBAMH_20230216002023030300T.scan,4,96,0.943,0.948,0.963,0.947,0.963,0.874,0.995,0.902,0.817,0.64,0.927,0.976,0.985,0.687,0.795,0.864,0.669,0.757,0.797
ACORBAMH_20230216002023030300T.scan,5,120,0.935,0.938,0.949,0.936,0.95,0.839,0.993,0.885,0.791,0.557,0.902,0.965,0.978,0.621,0.73,0.817,0.585,0.686,0.722
ACORBAMH_20230216002023030300T.scan,6,144,0.924,0.921,0.932,0.92,0.932,0.795,0.991,0.862,0.762,0.488,0.865,0.95,0.967,0.536,0.666,0.771,0.476,0.569,0.624
ACORBAMH_20230216002023030300T.scan,7,168,0.915,0.91,0.912,0.908,0.912,0.756,0.989,0.847,0.746,0.423,0.824,0.933,0.955,0.478,0.604,0.719,0.413,0.503,0.558
ACORBAMH_20230216002023030300T.scan,8,192,0.908,0.899,0.898,0.898,0.899,0.719,0.987,0.839,0.738,0.388,0.788,0.919,0.945,0.421,0.548,0.674,0.347,0.446,0.49
ACORBAMH_20230216002023030300T.scan,9,216,0.898,0.886,0.886,0.885,0.886,0.689,0.985,0.821,0.716,0.362,0.743,0.902,0.933,0.363,0.487,0.632,0.291,0.382,0.437
ACORBAMH_20230216002023030300T.scan,10,240,0.898,0.885,0.871,0.883,0.872,0.668,0.983,0.816,0.714,0.341,0.702,0.886,0.92,0.304,0.426,0.572,0.243,0.323,0.368
ACORBAMH_20230216002023030300T.scan,11,264,0.896,0.882,0.858,0.88,0.859,0.633,0.981,0.82,0.716,0.317,0.67,0.873,0.911,0.267,0.368,0.533,0.218,0.272,0.316
VIESBAMH0_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESBAMH0_20230216002023030300T.scan,1,24,0.362,0.163,0.033,0.155,0.03,0.019,-0.6,0.0,0.0,0.0,-3.431,-4.17,-2.659,0.141,-0.005,-0.113,0.006,-0.024,-0.01
VIESBAMH0_20230216002023030300T.scan,2,48,0.573,0.285,0.068,0.271,0.063,0.021,-1.125,0.0,0.0,0.0,-6.278,-7.054,-3.934,0.226,0.003,-0.128,0.076,-0.014,0.0
VIESBAMH0_20230216002023030300T.scan,3,72,0.729,0.358,0.072,0.341,0.067,-0.07,-1.403,0.0,0.0,0.0,-7.531,-8.416,-5.275,0.298,0.05,-0.147,0.119,-0.018,0.029
VIESBAMH0_20230216002023030300T.scan,4,96,0.825,0.428,0.076,0.408,0.071,-0.163,-1.501,0.0,0.0,0.0,-7.627,-8.48,-5.62,0.248,-0.045,-0.204,0.119,-0.038,0.063
VIESBAMH0_20230216002023030300T.scan,5,120,0.914,0.494,0.05,0.472,0.044,-0.262,-1.563,0.0,0.0,0.0,-7.776,-8.729,-6.455,0.123,-0.213,-0.374,0.116,-0.023,0.008
VIESBAMH0_20230216002023030300T.scan,6,144,0.921,0.473,0.013,0.452,0.007,-0.326,-1.522,0.0,0.0,0.0,-7.237,-8.383,-7.542,0.067,-0.283,-0.468,0.079,-0.051,-0.062
VIESBAMH0_20230216002023030300T.scan,7,168,0.903,0.465,0.008,0.443,0.001,-0.358,-1.5,0.0,0.0,0.0,-7.234,-8.419,-7.705,0.178,-0.255,-0.37,0.055,-0.049,-0.107
VIESBAMH0_20230216002023030300T.scan,8,192,0.854,0.449,0.05,0.428,0.041,-0.311,-1.541,0.0,0.0,0.0,-7.464,-8.37,-6.487,0.306,-0.112,-0.272,0.072,-0.074,-0.134
VIESBAMH0_20230216002023030300T.scan,9,216,0.805,0.429,0.082,0.407,0.072,-0.21,-1.657,0.0,0.0,0.0,-8.258,-8.908,-5.244,0.38,0.031,-0.14,0.06,-0.067,-0.074
VIESBAMH0_20230216002023030300T.scan,10,240,0.759,0.39,0.103,0.368,0.093,-0.116,-1.776,0.0,0.0,0.0,-9.485,-10.323,-5.361,0.396,0.033,-0.272,0.042,-0.012,-0.023
VIESBAMH0_20230216002023030300T.scan,11,264,0.741,0.331,0.028,0.31,0.019,-0.084,-1.738,0.0,0.0,0.0,-9.051,-11.06,-6.229,0.37,-0.03,-0.358,0.103,-0.027,-0.028
RMSEBAMH0_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEBAMH0_20230216002023030300T.scan,1,24,2.773,2.066,0.986,2.054,0.984,1.1,3.333,0.001,0.001,0.0,25.104,25.0,26.907,2.71,2.838,3.394,2.628,2.748,3.443
RMSEBAMH0_20230216002023030300T.scan,2,48,3.805,3.109,1.789,3.083,1.781,1.832,5.009,0.001,0.001,0.0,34.622,37.409,42.464,3.999,4.489,5.449,3.867,4.477,5.603
RMSEBAMH0_20230216002023030300T.scan,3,72,4.537,3.912,2.513,3.871,2.501,2.483,6.445,0.001,0.001,0.0,44.446,52.817,61.645,4.994,6.005,7.379,4.963,6.197,7.706
RMSEBAMH0_20230216002023030300T.scan,4,96,4.997,4.446,3.04,4.392,3.024,3.026,7.586,0.001,0.001,0.0,53.614,65.884,77.778,5.906,7.301,9.168,5.928,7.603,9.686
RMSEBAMH0_20230216002023030300T.scan,5,120,5.363,4.887,3.511,4.82,3.492,3.427,8.571,0.001,0.001,0.0,61.619,78.905,96.187,6.69,8.675,11.036,6.677,8.79,11.519
RMSEBAMH0_20230216002023030300T.scan,6,144,5.716,5.379,4.117,5.294,4.094,3.826,9.647,0.001,0.001,0.001,70.518,93.955,118.806,7.334,9.754,12.778,7.528,10.063,13.36
RMSEBAMH0_20230216002023030300T.scan,7,168,6.051,5.823,4.849,5.725,4.82,4.299,11.078,0.002,0.002,0.001,83.272,111.408,142.044,8.114,10.955,14.486,8.226,11.242,14.894
RMSEBAMH0_20230216002023030300T.scan,8,192,6.271,6.139,5.256,6.033,5.224,4.637,12.091,0.002,0.002,0.001,91.734,125.161,161.376,8.551,11.868,16.119,8.595,12.161,16.226
RMSEBAMH0_20230216002023030300T.scan,9,216,6.465,6.337,5.52,6.23,5.487,4.863,12.934,0.002,0.002,0.001,98.677,134.432,174.432,9.134,12.602,17.11,8.739,12.519,16.834
RMSEBAMH0_20230216002023030300T.scan,10,240,6.463,6.364,5.662,6.257,5.629,5.004,13.35,0.002,0.002,0.001,102.349,140.262,181.154,9.296,13.105,18.011,8.795,12.544,17.147
RMSEBAMH0_20230216002023030300T.scan,11,264,6.638,6.562,5.863,6.454,5.831,5.058,13.579,0.002,0.002,0.001,104.393,145.577,190.169,9.132,13.223,18.365,9.003,12.88,17.622
ACORBAMH0_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORBAMH0_20230216002023030300T.scan,1,24,0.984,0.99,0.997,0.99,0.997,0.987,0.999,0.982,0.971,0.946,0.984,0.997,0.998,0.944,0.974,0.985,0.942,0.972,0.979
ACORBAMH0_20230216002023030300T.scan,2,48,0.97,0.978,0.989,0.977,0.989,0.962,0.998,0.958,0.921,0.854,0.972,0.993,0.996,0.88,0.935,0.96,0.876,0.926,0.942
ACORBAMH0_20230216002023030300T.scan,3,72,0.957,0.964,0.977,0.963,0.977,0.929,0.996,0.937,0.875,0.757,0.955,0.986,0.992,0.812,0.883,0.927,0.795,0.857,0.888
ACORBAMH0_20230216002023030300T.scan,4,96,0.947,0.953,0.966,0.952,0.966,0.893,0.995,0.916,0.839,0.672,0.932,0.977,0.986,0.734,0.827,0.887,0.709,0.783,0.818
ACORBAMH0_20230216002023030300T.scan,5,120,0.939,0.942,0.954,0.941,0.954,0.86,0.994,0.896,0.815,0.594,0.905,0.966,0.979,0.657,0.757,0.837,0.62,0.706,0.738
ACORBAMH0_20230216002023030300T.scan,6,144,0.929,0.927,0.935,0.926,0.935,0.82,0.992,0.873,0.779,0.512,0.869,0.95,0.967,0.575,0.687,0.782,0.502,0.597,0.639
ACORBAMH0_20230216002023030300T.scan,7,168,0.918,0.911,0.909,0.911,0.909,0.767,0.989,0.851,0.75,0.425,0.817,0.929,0.952,0.477,0.6,0.719,0.398,0.484,0.538
ACORBAMH0_20230216002023030300T.scan,8,192,0.91,0.899,0.892,0.898,0.892,0.722,0.987,0.834,0.731,0.391,0.773,0.91,0.937,0.424,0.524,0.647,0.341,0.398,0.453
ACORBAMH0_20230216002023030300T.scan,9,216,0.902,0.891,0.88,0.89,0.88,0.686,0.985,0.822,0.722,0.389,0.732,0.895,0.926,0.351,0.454,0.594,0.295,0.35,0.41
ACORBAMH0_20230216002023030300T.scan,10,240,0.902,0.89,0.873,0.889,0.873,0.658,0.984,0.82,0.714,0.368,0.702,0.884,0.919,0.308,0.398,0.543,0.281,0.336,0.385
ACORBAMH0_20230216002023030300T.scan,11,264,0.896,0.882,0.861,0.88,0.861,0.645,0.984,0.817,0.718,0.356,0.68,0.873,0.909,0.308,0.366,0.514,0.246,0.29,0.344
VIESX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESX666_20230216002023030300T.scan,1,24,0.257,-0.324,0.001,-0.338,-0.0,0.041,-0.883,0.0,0.0,0.0,-2.771,-5.841,-4.36,0.096,0.005,-0.19,0.004,-0.041,-0.053
VIESX666_20230216002023030300T.scan,2,48,0.548,-0.188,0.035,-0.208,0.032,0.005,-1.453,0.0,0.0,0.0,-5.456,-9.305,-6.857,0.26,0.04,-0.148,0.02,-0.061,-0.039
VIESX666_20230216002023030300T.scan,3,72,0.745,-0.075,0.079,-0.099,0.074,-0.045,-1.887,0.0,0.0,0.0,-7.748,-11.163,-8.368,0.411,0.073,-0.142,0.078,-0.033,-0.08
VIESX666_20230216002023030300T.scan,4,96,0.863,-0.015,0.082,-0.04,0.076,-0.112,-2.3,0.0,0.0,0.0,-10.113,-13.844,-11.236,0.48,0.079,-0.08,0.091,-0.062,-0.074
VIESX666_20230216002023030300T.scan,5,120,0.94,0.072,0.067,0.047,0.061,-0.187,-2.509,0.0,0.0,0.0,-11.729,-15.163,-13.009,0.502,0.1,-0.1,0.108,-0.073,-0.111
VIESX666_20230216002023030300T.scan,6,144,0.93,0.04,0.049,0.016,0.042,-0.212,-2.535,0.0,0.0,0.0,-11.691,-15.667,-13.675,0.601,0.183,0.046,0.169,-0.101,-0.165
VIESX666_20230216002023030300T.scan,7,168,0.951,0.046,0.053,0.021,0.046,-0.21,-2.592,0.0,0.0,0.0,-12.116,-16.418,-14.178,0.651,0.286,0.181,0.167,-0.081,-0.169
VIESX666_20230216002023030300T.scan,8,192,0.909,0.028,0.101,0.004,0.092,-0.182,-2.607,0.0,0.0,0.0,-11.834,-15.88,-12.418,0.73,0.287,0.145,0.138,-0.067,-0.174
VIESX666_20230216002023030300T.scan,9,216,0.799,0.003,0.207,-0.017,0.197,-0.103,-2.686,0.0,0.0,0.0,-12.771,-15.907,-10.035,0.719,0.259,0.023,0.096,-0.028,-0.13
VIESX666_20230216002023030300T.scan,10,240,0.733,-0.057,0.297,-0.077,0.287,-0.055,-2.559,0.0,0.0,0.0,-11.891,-14.319,-6.869,0.827,0.218,-0.142,0.161,0.017,-0.155
VIESX666_20230216002023030300T.scan,11,264,0.706,-0.125,0.279,-0.147,0.269,-0.055,-2.36,0.0,0.0,0.0,-10.134,-12.83,-6.109,0.926,0.211,-0.226,0.125,-0.006,-0.154
RMSEX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEX666_20230216002023030300T.scan,1,24,3.534,2.266,0.863,2.264,0.863,0.871,2.734,0.001,0.001,0.0,17.995,15.848,14.469,3.425,3.033,3.017,3.35,2.929,2.903
RMSEX666_20230216002023030300T.scan,2,48,4.576,3.199,1.542,3.182,1.537,1.423,4.674,0.001,0.001,0.0,29.123,29.621,29.481,4.352,4.477,4.704,4.301,4.36,4.579
RMSEX666_20230216002023030300T.scan,3,72,5.293,3.983,2.276,3.946,2.266,2.062,6.407,0.001,0.001,0.0,41.17,46.531,49.733,5.391,6.185,6.796,5.284,5.993,6.775
RMSEX666_20230216002023030300T.scan,4,96,5.795,4.601,2.899,4.548,2.883,2.688,8.007,0.001,0.001,0.0,52.893,62.659,70.25,6.319,7.741,8.79,6.232,7.657,9.099
RMSEX666_20230216002023030300T.scan,5,120,6.079,5.028,3.454,4.958,3.434,3.195,9.423,0.001,0.001,0.0,64.811,76.468,89.823,7.207,9.089,10.823,7.13,9.176,11.47
RMSEX666_20230216002023030300T.scan,6,144,6.358,5.462,4.116,5.38,4.092,3.638,10.689,0.002,0.002,0.001,75.874,94.92,116.668,7.849,10.216,12.721,7.958,10.729,13.676
RMSEX666_20230216002023030300T.scan,7,168,6.719,5.979,4.813,5.887,4.786,4.029,11.706,0.002,0.002,0.001,84.915,110.715,139.713,8.246,11.107,14.304,8.564,11.608,14.693
RMSEX666_20230216002023030300T.scan,8,192,6.992,6.341,5.309,6.239,5.279,4.393,12.655,0.002,0.002,0.001,93.837,127.077,162.433,8.727,12.269,16.004,8.993,12.567,16.312
RMSEX666_20230216002023030300T.scan,9,216,7.039,6.391,5.537,6.283,5.505,4.5,13.69,0.002,0.002,0.001,102.787,138.607,176.46,9.189,12.954,17.399,9.229,13.171,17.607
RMSEX666_20230216002023030300T.scan,10,240,7.049,6.483,5.673,6.378,5.64,4.669,14.409,0.002,0.002,0.001,108.748,147.06,186.549,9.659,13.794,18.374,9.281,13.14,17.853
RMSEX666_20230216002023030300T.scan,11,264,7.105,6.553,5.701,6.445,5.667,4.777,14.991,0.002,0.002,0.001,113.002,152.207,192.626,9.736,13.739,18.135,9.561,13.367,17.811
ACORX666_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
