,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
ACORDTC_20230216002023030300T.scan,5,120,0.91,0.886,0.819,0.872,0.805,0.835,0.998,0.883,0.832,0.772,0.619,0.615,0.861,0.657,0.819,0.842,0.431,0.598,0.57
ACORDTC_20230216002023030300T.scan,6,144,0.893,0.864,0.782,0.849,0.762,0.832,0.998,0.871,0.815,0.738,0.61,0.598,0.85,0.614,0.784,0.816,0.381,0.514,0.54
ACORDTC_20230216002023030300T.scan,7,168,0.879,0.84,0.749,0.824,0.725,0.817,0.998,0.858,0.797,0.713,0.581,0.57,0.841,0.575,0.752,0.798,0.344,0.428,0.523
ACORDTC_20230216002023030300T.scan,8,192,0.867,0.822,0.712,0.808,0.684,0.784,0.998,0.849,0.786,0.69,0.558,0.537,0.815,0.542,0.705,0.781,0.307,0.36,0.481
ACORDTC_20230216002023030300T.scan,9,216,0.858,0.805,0.684,0.791,0.653,0.751,0.998,0.842,0.774,0.653,0.53,0.504,0.797,0.509,0.653,0.75,0.282,0.302,0.416
ACORDTC_20230216002023030300T.scan,10,240,0.846,0.784,0.65,0.77,0.616,0.701,0.998,0.837,0.766,0.619,0.49,0.469,0.77,0.474,0.61,0.71,0.271,0.225,0.359
ACORDTC_20230216002023030300T.scan,11,264,0.825,0.76,0.621,0.746,0.584,0.668,0.998,0.829,0.752,0.594,0.454,0.427,0.742,0.44,0.562,0.661,0.248,0.173,0.319
VIESBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESBAMH_20230216002023030300T.scan,1,24,-0.1,-0.108,-0.1,-0.098,-0.118,-0.142,0.185,-0.0,-0.0,0.0,1.008,-1.116,-4.835,-0.189,0.001,-0.24,0.101,0.092,-0.055
VIESBAMH_20230216002023030300T.scan,2,48,-0.212,-0.243,-0.133,-0.235,-0.158,-0.168,0.315,-0.0,-0.0,0.0,1.778,-2.028,-6.865,-0.229,-0.197,-0.187,0.181,-0.15,0.258
VIESBAMH_20230216002023030300T.scan,3,72,-0.295,-0.338,-0.169,-0.332,-0.196,-0.252,0.404,-0.0,-0.0,0.0,2.207,-2.723,-8.832,-0.304,-0.344,-0.297,0.143,-0.149,0.318
VIESBAMH_20230216002023030300T.scan,4,96,-0.362,-0.396,-0.171,-0.39,-0.199,-0.361,0.445,-0.0,-0.0,0.0,2.3,-3.214,-10.426,-0.381,-0.465,-0.495,0.101,-0.118,0.312
VIESBAMH_20230216002023030300T.scan,5,120,-0.423,-0.436,-0.194,-0.429,-0.224,-0.452,0.466,-0.0,-0.0,0.0,2.292,-3.633,-12.177,-0.449,-0.599,-0.526,0.154,-0.129,0.108
VIESBAMH_20230216002023030300T.scan,6,144,-0.471,-0.486,-0.218,-0.478,-0.251,-0.533,0.511,-0.0,-0.0,0.0,2.534,-3.618,-13.403,-0.685,-0.728,-0.536,0.051,-0.157,0.25
VIESBAMH_20230216002023030300T.scan,7,168,-0.525,-0.523,-0.215,-0.51,-0.245,-0.574,0.475,-0.0,-0.0,0.0,2.056,-4.237,-14.454,-0.729,-0.854,-0.511,-0.028,-0.065,0.299
VIESBAMH_20230216002023030300T.scan,8,192,-0.537,-0.551,-0.234,-0.541,-0.263,-0.605,0.406,-0.0,-0.0,0.0,1.37,-5.077,-15.635,-0.764,-1.026,-0.473,0.035,-0.007,0.354
VIESBAMH_20230216002023030300T.scan,9,216,-0.539,-0.546,-0.254,-0.538,-0.285,-0.638,0.399,-0.0,-0.0,0.0,1.294,-5.206,-16.241,-0.943,-1.251,-0.42,0.049,0.015,0.45
VIESBAMH_20230216002023030300T.scan,10,240,-0.562,-0.576,-0.271,-0.573,-0.303,-0.679,0.469,-0.0,-0.0,0.0,1.781,-4.844,-16.628,-1.032,-1.4,-0.416,-0.015,0.045,0.462
VIESBAMH_20230216002023030300T.scan,11,264,-0.601,-0.599,-0.284,-0.6,-0.317,-0.715,0.574,-0.0,0.0,0.0,2.523,-4.156,-16.887,-1.153,-1.526,-0.429,-0.008,0.056,0.264
RMSEBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
